nama_kos,kecamatan,harga_sewa,k_kamar_mandi,WiFi,AC,akses_24_jam
Kost Wisma Bunda Tipe Exclusive Ngemplak Sleman,Ngemplak,1400000,K. Mandi Dalam,WiFi,AC,Akses 24 Jam
Kost Timagoya Residence Tipe A Ngemplak Sleman,Ngemplak,1900000,K. Mandi Dalam,WiFi,AC,Tidak Akses 24 Jam
Kost Timagoya Residence Tipe B Ngemplak Sleman,Ngemplak,2000000,K. Mandi Dalam,WiFi,AC,Tidak Akses 24 Jam
Kost Serai Putih Tipe C Ngaglik Sleman,Ngaglik,1400000,K. Mandi Dalam,WiFi,Tidak AC,Tidak Akses 24 Jam
Kost Serai Putih Tipe B Ngaglik Sleman,Ngaglik,1000000,K. Mandi Dalam,WiFi,Tidak AC,Tidak Akses 24 Jam
Kost T2 Eksklusif Ngemplak Sleman,Ngemplak,1400000,K. Mandi Dalam,WiFi,AC,Akses 24 Jam
Kost Puri Anggrek Ngemplak Sleman,Ngemplak,450000,K. Mandi Luar,WiFi,Tidak AC,Akses 24 Jam
Kost Shafa Marwah Ngemplak Sleman,Ngemplak,1125000,K. Mandi Dalam,WiFi,AC,Tidak Akses 24 Jam
Kost Madira Ngaglik Sleman,Ngaglik,650000,K. Mandi Luar,WiFi,Tidak AC,Akses 24 Jam
Kost Eyang Cantik Tipe A Ngemplak Sleman,Ngemplak,760000,K. Mandi Dalam,WiFi,Tidak AC,Tidak Akses 24 Jam
Kost Green Azizah Tipe B Ngemplak Sleman,Ngemplak,600000,K. Mandi Dalam,WiFi,Tidak AC,Akses 24 Jam
Kost Denta 2 Tipe A Ngaglik Sleman,Ngaglik,715000,K. Mandi Dalam,WiFi,Tidak AC,Tidak Akses 24 Jam
Kost Adani Muslimah Ngaglik Sleman,Ngaglik,450000,K. Mandi Luar,WiFi,Tidak AC,Akses 24 Jam
Kost Ismoyo UII Jakal Ngaglik Sleman,Ngaglik,575000,K. Mandi Dalam,WiFi,Tidak AC,Akses 24 Jam
